EVENT,ID,TARGET1,TARGET2,LOGICAL_TIME,QUEUE_LENGTH,TIME,RATE
send,2,1,-1,1,0,12,5
internal,2,-1,-1,2,0,24,5
received,2,-1,-1,4,0,36,5
send,2,1,-1,5,0,48,5
multisend,2,0,1,6,0,60,5
internal,2,-1,-1,7,0,72,5
internal,2,-1,-1,8,0,84,5
internal,2,-1,-1,9,0,96,5
multisend,2,0,1,10,0,108,5
internal,2,-1,-1,11,0,120,5
internal,2,-1,-1,12,0,132,5
received,2,-1,-1,13,0,144,5
internal,2,-1,-1,14,0,156,5
internal,2,-1,-1,15,0,168,5
internal,2,-1,-1,16,0,180,5
multisend,2,0,1,17,0,192,5
internal,2,-1,-1,18,0,204,5
multisend,2,0,1,19,0,216,5
internal,2,-1,-1,20,0,228,5
send,2,0,-1,21,0,240,5
internal,2,-1,-1,22,0,252,5
internal,2,-1,-1,23,0,264,5
internal,2,-1,-1,24,0,276,5
internal,2,-1,-1,25,0,288,5
received,2,-1,-1,26,0,300,5
internal,2,-1,-1,27,0,312,5
internal,2,-1,-1,28,0,324,5
received,2,-1,-1,29,0,336,5
send,2,1,-1,30,0,348,5
internal,2,-1,-1,31,0,360,5
